iter	Passed	Remaining
588	6172	4306
589	6179	4294
590	6186	4281
591	6194	4268
592	6201	4256
593	6208	4243
594	6215	4230
595	6222	4217
596	6229	4205
597	6236	4192
598	6242	4179
599	6249	4166
600	6256	4153
601	6263	4140
602	6269	4127
603	6276	4114
604	6282	4102
605	6289	4089
606	6296	4076
607	6303	4064
608	6310	4051
609	6316	4038
610	6322	4025
611	6329	4012
612	6334	3999
613	6341	3986
614	6347	3973
615	6354	3961
616	6360	3948
617	6367	3935
618	6373	3923
619	6380	3910
620	6386	3897
621	6393	3885
622	6400	3872
623	6407	3860
624	6414	3848
625	6421	3836
626	6427	3823
627	6433	3810
628	6440	3798
629	6446	3786
630	6453	3774
631	6460	3761
632	6467	3749
633	6474	3737
634	6481	3725
635	6488	3713
636	6496	3702
637	6504	3690
638	6511	3678
639	6519	3667
640	6526	3655
641	6534	3644
642	6542	3632
643	6548	3620
644	6555	3608
645	6563	3596
646	6571	3585
647	6579	3574
648	6589	3563
649	6596	3552
650	6603	3540
651	6611	3528
652	6619	3517
653	6626	3505
654	6634	3494
655	6642	3483
656	6650	3472
657	6658	3460
658	6666	3449
659	6674	3438
660	6681	3426
661	6690	3415
662	6697	3404
663	6705	3393
664	6713	3381
665	6721	3370
666	6729	3359
667	6739	3349
668	6747	3338
669	6772	3335
670	6781	3325
671	6791	3314
672	6802	3305
673	6810	3294
674	6820	3283
675	6829	3273
676	6840	3263
677	6848	3252
678	6856	3241
679	6865	3230
680	6875	3220
681	6884	3210
682	6894	3200
683	6903	3189
684	6914	3179
685	6924	3169
686	6932	3158
687	6941	3147
688	6949	3136
689	6957	3125
690	6964	3114
691	6973	3103
692	6981	3092
693	6989	3081
694	6997	3070
695	7004	3059
696	7012	3048
697	7020	3037
698	7028	3026
699	7038	3016
700	7047	3005
701	7056	2995
702	7065	2984
703	7073	2974
704	7082	2963
705	7091	2952
706	7099	2942
707	7107	2931
708	7115	2920
709	7123	2909
710	7132	2899
711	7141	2888
712	7151	2878
713	7160	2868
714	7169	2857
715	7182	2848
716	7193	2839
717	7203	2829
718	7214	2819
719	7223	2809
720	7232	2798
721	7242	2788
722	7249	2777
723	7261	2768
724	7269	2757
725	7279	2747
726	7290	2737
727	7300	2727
728	7309	2717
729	7318	2707
730	7327	2696
731	7336	2685
732	7344	2675
733	7352	2664
734	7359	2653
735	7367	2642
736	7376	2632
737	7386	2622
738	7396	2612
739	7405	2601
740	7412	2591
741	7420	2580
742	7428	2569
743	7436	2558
744	7444	2548
745	7459	2539
746	7466	2528
747	7474	2518
748	7482	2507
749	7490	2496
750	7499	2486
751	7506	2475
752	7514	2464
753	7522	2454
754	7530	2443
755	7538	2432
756	7547	2422
757	7554	2411
758	7562	2401
759	7570	2390
760	7580	2380
761	7589	2370
762	7598	2360
763	7607	2350
764	7615	2339
765	7624	2329
766	7632	2318
767	7640	2308
768	7649	2297
769	7657	2287
770	7665	2276
771	7674	2266
772	7683	2256
773	7693	2246
774	7702	2236
775	7720	2228
776	7747	2223
777	7770	2217
778	7780	2207
779	7789	2196
780	7798	2186
781	7808	2176
782	7821	2167
783	7829	2157
784	7839	2147
785	7850	2137
786	7861	2127
787	7873	2118
788	7888	2109
789	7901	2100
790	7910	2090
791	7919	2079
792	7928	2069
793	7937	2059
794	7946	2049
795	7956	2039
796	7965	2028
797	7976	2019
798	7984	2008
799	7993	1998
800	8003	1988
801	8013	1978
802	8022	1968
803	8030	1957
804	8037	1946
805	8045	1936
806	8052	1925
807	8060	1915
808	8069	1905
809	8078	1895
810	8088	1885
811	8099	1875
812	8108	1865
813	8118	1855
814	8129	1845
815	8140	1835
816	8149	1825
817	8162	1816
818	8174	1806
819	8182	1796
820	8190	1785
821	8198	1775
822	8205	1764
823	8213	1754
824	8221	1743
825	8229	1733
826	8236	1723
827	8245	1712
828	8253	1702
829	8261	1692
830	8269	1681
831	8277	1671
832	8284	1660
833	8294	1650
834	8303	1640
835	8311	1630
836	8319	1620
837	8327	1609
838	8335	1599
839	8343	1589
840	8350	1578
841	8357	1568
842	8365	1558
843	8375	1548
844	8383	1537
845	8391	1527
846	8398	1517
847	8405	1506
848	8413	1496
849	8421	1486
850	8428	1475
851	8436	1465
852	8444	1455
853	8452	1444
854	8459	1434
855	8467	1424
856	8475	1414
857	8483	1403
858	8490	1393
859	8497	1383
860	8506	1373
861	8513	1362
862	8520	1352
863	8528	1342
864	8536	1332
865	8542	1321
866	8549	1311
867	8557	1301
868	8564	1291
869	8571	1280
870	8578	1270
871	8586	1260
872	8593	1250
873	8600	1239
874	8607	1229
875	8614	1219
876	8620	1209
877	8627	1198
878	8634	1188
879	8640	1178
880	8647	1168
881	8654	1157
882	8662	1147
883	8668	1137
884	8676	1127
885	8683	1117
886	8690	1107
887	8697	1097
888	8705	1086
889	8711	1076
890	8718	1066
891	8725	1056
892	8731	1046
893	8737	1036
894	8743	1025
895	8750	1015
896	8756	1005
897	8764	995
898	8771	985
899	8778	975
900	8784	965
901	8791	955
902	8798	945
903	8803	934
904	8811	925
905	8820	915
906	8831	905
907	8842	895
908	8853	886
909	8863	876
910	8874	866
911	8884	857
912	8892	847
913	8900	837
914	8909	827
915	8917	817
916	8928	808
917	8938	798
918	8948	788
919	8958	778
920	8969	769
921	8982	759
922	8990	750
923	9000	740
924	9010	730
925	9019	720
926	9029	711
927	9037	701
928	9045	691
929	9053	681
930	9060	671
931	9068	661
932	9076	651
